Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-06-10,Groceries,Cash,Snacks and drinks for the week,364.96,11.85
2024-06-08,Gifts,Cash,Anniversary gift,963.31,78.6
2024-06-28,Food,Cash,Lunch with friends,214.46,4.68
2024-06-11,Travel,Net Banking,Sightseeing tour tickets,787.06,17.73
2024-06-21,Groceries,Credit Card,Snacks and drinks for the week,171.6,3.86
2024-06-09,Personal,Credit Card,Books and stationery,869.01,28.14
2024-06-03,Investment,Debit Card,Retirement account contribution,485.41,0.0
2024-06-03,Bills,Cash,Mobile phone bill,275.61,1.69
2024-06-20,Subscriptions,Net Banking,Streaming service subscription,582.17,20.12
2024-06-01,Food,Debit Card,Snacks for cravings,223.47,1.43
2024-06-01,Bills,UPI,Internet service charge,762.99,54.85
2024-06-03,Transportation,Credit Card,Uber ride to the airport,356.18,1.69
2024-06-05,Gifts,Credit Card,Holiday gift,599.96,6.5
2024-06-01,Travel,Credit Card,Car rental for the trip,665.46,15.98
2024-06-02,Entertainment,UPI,Streaming service subscription,94.46,8.15
2024-06-03,Food,Credit Card,Snacks for cravings,810.21,70.86
2024-06-03,Transportation,Credit Card,Gas for the car,137.99,0.35
2024-06-03,Groceries,Cash,Snacks and drinks for the week,255.94,2.05
2024-06-03,Personal,Net Banking,Personal care products,124.25,4.6
2024-06-04,Gifts,Credit Card,Birthday gift for a friend,366.21,22.96
2024-06-05,Gifts,UPI,Birthday gift for a friend,433.4,43.0
2024-06-19,Groceries,Cash,Buying meat and dairy products,302.32,18.21
2024-06-29,Personal,Cash,Hobby supplies,780.17,26.34
2024-06-05,Groceries,UPI,Weekly grocery shopping,806.19,33.13
2024-06-10,Subscriptions,Net Banking,Gym membership,102.18,6.63
2024-06-10,Groceries,Credit Card,Snacks and drinks for the week,477.09,42.12
2024-06-24,Entertainment,UPI,Movie tickets for the weekend,399.65,36.42
2024-06-13,Food,Cash,Snacks for cravings,313.99,7.48
2024-06-10,Personal,Credit Card,Hobby supplies,493.8,40.58
