Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-02-01,Travel,Cash,Car rental for the trip,534.32,17.36
2024-02-11,Subscriptions,Cash,Gym membership,382.89,19.35
2024-02-13,Personal,Debit Card,Clothing purchase,573.76,10.56
2024-02-17,Subscriptions,Net Banking,Software subscription,148.86,13.87
2024-02-27,Groceries,Debit Card,Buying fresh produce,288.43,3.77
2024-02-26,Food,Credit Card,Lunch with friends,507.47,33.37
2024-02-02,Transportation,Net Banking,Taxi fare to a meeting,887.08,6.18
2024-02-15,Bills,Cash,Electricity bill payment,450.48,9.3
2024-02-13,Food,UPI,Snacks for cravings,724.0,39.01
2024-02-23,Personal,UPI,Clothing purchase,923.22,68.74
2024-02-27,Food,Cash,Takeout from a local diner,550.22,2.3
2024-02-12,Investment,Debit Card,Cryptocurrency purchase,894.35,0.0
2024-02-24,Entertainment,Net Banking,Streaming service subscription,126.14,8.68
2024-02-28,Investment,Cash,Stock purchase,417.84,0.0
2024-02-02,Transportation,Debit Card,Parking fees,944.39,79.9
2024-02-27,Transportation,Debit Card,Uber ride to the airport,498.98,30.49
2024-02-10,Groceries,Credit Card,Buying meat and dairy products,980.26,81.03
2024-02-02,Food,Debit Card,Lunch with friends,860.6,16.9
2024-02-28,Subscriptions,UPI,Monthly magazine subscription,207.61,11.77
2024-02-20,Food,Credit Card,Takeout from a local diner,868.86,27.42
2024-02-03,Subscriptions,Debit Card,Software subscription,556.71,12.5
2024-02-01,Bills,Credit Card,Internet service charge,110.31,6.17
2024-02-26,Subscriptions,UPI,Online course fee,579.95,7.14
2024-02-12,Personal,Credit Card,Clothing purchase,271.83,23.62
2024-02-06,Investment,Credit Card,Retirement account contribution,366.96,0.0
2024-02-03,Transportation,UPI,Uber ride to the airport,134.29,4.44
2024-02-26,Investment,Cash,Retirement account contribution,514.28,0.0
2024-02-02,Transportation,Cash,Uber ride to the airport,122.76,9.02
2024-02-01,Travel,Net Banking,Hotel booking for vacation,515.24,21.64
2024-02-28,Transportation,UPI,Public transport monthly pass,983.68,15.2
2024-02-28,Bills,UPI,Mobile phone bill,734.48,12.47
2024-02-28,Subscriptions,Debit Card,Online course fee,344.29,7.06
2024-02-23,Groceries,Cash,Weekly grocery shopping,515.21,6.57
2024-02-01,Transportation,Cash,Gas for the car,316.46,11.65
2024-02-09,Food,Cash,Snacks for cravings,103.44,9.77
2024-02-25,Transportation,UPI,Parking fees,898.83,84.04
2024-02-16,Subscriptions,Credit Card,Gym membership,742.01,60.46
2024-02-05,Travel,Debit Card,Flight tickets to a destination,158.02,12.69
2024-02-04,Transportation,Debit Card,Public transport monthly pass,321.08,4.54
2024-02-25,Subscriptions,Debit Card,Monthly magazine subscription,312.38,8.37
2024-02-18,Entertainment,Credit Card,Streaming service subscription,556.57,35.27
