Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-01-10,Entertainment,Debit Card,Movie tickets for the weekend,993.5,82.61
2024-01-14,Investment,Net Banking,Real estate investment,341.42,0.0
2024-01-15,Groceries,UPI,Snacks and drinks for the week,10.79,0.58
2024-01-25,Food,Credit Card,Coffee and pastries at a café,687.49,35.17
2024-01-30,Entertainment,Debit Card,Video game purchase,675.63,19.34
2024-01-12,Subscriptions,Cash,Monthly magazine subscription,869.02,38.44
2024-01-25,Bills,Credit Card,Water bill payment,214.6,13.15
2024-01-18,Investment,Cash,Retirement account contribution,766.57,0.0
2024-01-01,Groceries,Credit Card,Weekly grocery shopping,425.07,14.99
2024-01-03,Gifts,Debit Card,Anniversary gift,428.42,24.26
2024-01-16,Gifts,UPI,Charity donation,504.7,33.48
2024-01-15,Groceries,UPI,Household supplies,258.65,22.87
2024-01-10,Bills,Cash,Insurance premium payment,920.06,24.08
2024-01-15,Gifts,Cash,Birthday gift for a friend,402.2,2.72
2024-01-22,Entertainment,Cash,Video game purchase,695.92,51.18
2024-01-25,Subscriptions,Debit Card,Streaming service subscription,496.05,7.28
2024-01-22,Transportation,Net Banking,Taxi fare to a meeting,57.08,2.78
2024-01-30,Subscriptions,Net Banking,Streaming service subscription,112.9,0.02
2024-01-20,Travel,Cash,Sightseeing tour tickets,837.18,58.03
2024-01-15,Travel,UPI,Hotel booking for vacation,685.88,22.41
2024-01-04,Subscriptions,Cash,Online course fee,861.02,23.8
2024-01-02,Food,Net Banking,Coffee and pastries at a café,383.88,27.51
2024-01-22,Entertainment,Debit Card,Dining out with friends,871.34,6.32
2024-01-04,Bills,Debit Card,Water bill payment,923.31,15.34
2024-01-24,Groceries,Debit Card,Household supplies,232.18,3.99
2024-01-04,Bills,UPI,Mobile phone bill,71.27,6.83
2024-01-23,Entertainment,UPI,Concert tickets,314.95,14.49
2024-01-09,Subscriptions,UPI,Gym membership,795.05,45.32
2024-01-03,Groceries,Debit Card,Buying fresh produce,66.97,5.48
2024-01-27,Travel,Cash,Hotel booking for vacation,867.84,76.2
2024-01-14,Investment,Debit Card,Mutual fund contribution,993.08,0.0
2024-01-02,Transportation,UPI,Public transport monthly pass,645.02,38.55
2024-01-09,Personal,Debit Card,Clothing purchase,286.67,7.57
2024-01-08,Transportation,Debit Card,Uber ride to the airport,562.44,14.18
2024-01-25,Transportation,Debit Card,Gas for the car,239.4,19.79
2024-01-21,Gifts,Cash,Charity donation,627.93,10.09
2024-01-12,Food,Credit Card,Lunch with friends,333.93,4.85
2024-01-24,Travel,Net Banking,Car rental for the trip,440.92,26.43
2024-01-14,Investment,Net Banking,Dividend reinvestment,749.49,0.0
2024-01-13,Personal,UPI,Personal care products,246.47,24.26
2024-01-28,Gifts,Debit Card,Charity donation,468.52,12.29
2024-01-16,Food,Net Banking,Dinner at a restaurant,550.0,20.83
2024-01-22,Groceries,Credit Card,Household supplies,227.79,13.95
2024-01-28,Personal,Cash,Books and stationery,719.74,14.96
2024-01-18,Travel,UPI,Flight tickets to a destination,824.75,7.32
2024-01-05,Groceries,Cash,Snacks and drinks for the week,871.1,85.39
2024-01-27,Subscriptions,Credit Card,Software subscription,739.26,69.08
2024-01-07,Entertainment,Net Banking,Movie tickets for the weekend,373.66,28.29
2024-01-10,Investment,Debit Card,Bond investment,685.92,0.0
2024-01-06,Travel,Net Banking,Travel insurance,415.05,21.61
2024-01-14,Investment,UPI,Cryptocurrency purchase,881.33,0.0
2024-01-03,Personal,Net Banking,Personal care products,486.94,13.1
2024-01-13,Food,Debit Card,Coffee and pastries at a café,879.14,80.58
2024-01-07,Entertainment,Cash,Movie tickets for the weekend,910.38,83.07
2024-01-01,Subscriptions,Credit Card,Software subscription,628.32,48.59
2024-01-09,Entertainment,Net Banking,Dining out with friends,600.85,52.91
2024-01-07,Investment,Net Banking,Mutual fund contribution,168.95,0.0
2024-10-14,Entertainment,Cash,Dining out with friends,189.73,6.83
2024-10-05,Personal,Net Banking,Clothing purchase,420.12,38.0
2024-10-22,Investment,Net Banking,Mutual fund contribution,225.06,0.0
2024-10-08,Transportation,UPI,Taxi fare to a meeting,631.43,54.77
2024-10-04,Food,Net Banking,Dinner at a restaurant,860.11,5.4
2024-10-05,Transportation,Net Banking,Gas for the car,36.74,2.58
2024-10-02,Food,Net Banking,Dinner at a restaurant,109.4,1.11
2024-10-27,Bills,Debit Card,Internet service charge,213.27,1.7
2024-10-01,Groceries,Net Banking,Buying fresh produce,551.85,5.89
2024-10-15,Groceries,Cash,Snacks and drinks for the week,962.52,31.93
2024-10-19,Personal,Debit Card,Clothing purchase,933.91,11.42
2024-10-15,Travel,Credit Card,Flight tickets to a destination,826.7,16.08
2024-10-30,Personal,Debit Card,Hobby supplies,448.14,43.01
2024-10-27,Transportation,Cash,Parking fees,923.86,9.79
2024-10-27,Gifts,Credit Card,Anniversary gift,641.79,60.35
2024-10-22,Subscriptions,Net Banking,Online course fee,351.06,23.5
2024-10-29,Subscriptions,Debit Card,Gym membership,191.23,2.06
2024-10-26,Groceries,Debit Card,Snacks and drinks for the week,465.29,27.42
2024-10-09,Travel,Debit Card,Travel insurance,293.06,11.24
2024-10-24,Personal,Net Banking,Personal care products,730.91,3.57
2024-10-28,Gifts,Net Banking,Birthday gift for a friend,590.83,48.96
2024-10-27,Entertainment,Cash,Movie tickets for the weekend,360.73,6.62
2024-10-18,Groceries,Cash,Household supplies,368.46,31.01
2024-10-09,Bills,UPI,Insurance premium payment,115.19,0.54
2024-10-24,Investment,Debit Card,Cryptocurrency purchase,198.25,0.0
2024-10-06,Travel,Net Banking,Sightseeing tour tickets,887.84,3.14
2024-10-05,Bills,Net Banking,Internet service charge,224.93,11.98
2024-10-01,Entertainment,Cash,Dining out with friends,963.59,0.52
2024-10-14,Travel,Cash,Travel insurance,899.3,56.56
2024-10-12,Travel,UPI,Sightseeing tour tickets,813.54,47.29
2024-10-05,Food,Cash,Snacks for cravings,193.74,12.56
2024-10-05,Travel,Net Banking,Flight tickets to a destination,983.41,60.0
2024-10-07,Groceries,Debit Card,Household supplies,405.23,20.05
2024-10-13,Entertainment,Cash,Video game purchase,328.78,14.73
2024-10-01,Groceries,UPI,Household supplies,993.76,74.2
2024-10-01,Bills,Credit Card,Insurance premium payment,370.6,33.96
2024-10-07,Groceries,Debit Card,Weekly grocery shopping,884.79,68.58
2024-10-06,Groceries,Debit Card,Buying meat and dairy products,924.53,8.49
2024-10-11,Investment,Debit Card,Bond investment,739.8,0.0
2024-10-30,Personal,Net Banking,Books and stationery,804.9,0.08
2024-10-15,Bills,Net Banking,Electricity bill payment,768.97,40.69
2024-10-02,Bills,Debit Card,Water bill payment,290.21,0.98
2024-10-12,Food,Credit Card,Takeout from a local diner,200.56,15.67
2024-10-13,Investment,Net Banking,Cryptocurrency purchase,585.6,0.0
2024-10-27,Transportation,Credit Card,Taxi fare to a meeting,988.92,91.55
2024-10-11,Groceries,Net Banking,Household supplies,168.34,12.65
2024-10-22,Subscriptions,Debit Card,Software subscription,413.81,38.9
2024-10-29,Subscriptions,Net Banking,Online course fee,724.78,10.07
2024-10-30,Travel,Credit Card,Car rental for the trip,292.93,19.11
2024-10-15,Personal,Cash,Clothing purchase,915.03,59.19
2024-10-23,Investment,Credit Card,Investment in startup,396.15,0.0
2024-10-09,Gifts,Credit Card,Charity donation,777.3,77.64
2024-10-29,Entertainment,Credit Card,Video game purchase,182.49,0.18
2024-10-18,Entertainment,Cash,Dining out with friends,282.82,2.09
2024-10-14,Travel,Debit Card,Flight tickets to a destination,18.56,1.86
2024-10-23,Gifts,Net Banking,Birthday gift for a friend,327.69,22.03
2024-10-18,Bills,Debit Card,Internet service charge,330.18,13.96
2024-10-01,Entertainment,UPI,Video game purchase,112.04,1.75
2024-10-20,Entertainment,Cash,Concert tickets,522.82,9.65
2024-10-10,Gifts,Cash,Gift for a colleague,276.75,17.93
2024-10-09,Groceries,Cash,Household supplies,764.53,45.31
2024-10-10,Transportation,Debit Card,Parking fees,80.7,1.23
2024-10-19,Transportation,Debit Card,Gas for the car,639.44,16.39
2024-10-16,Gifts,Credit Card,Birthday gift for a friend,756.29,5.0
2024-10-19,Investment,Credit Card,Stock purchase,648.09,0.0
2024-10-07,Transportation,Debit Card,Taxi fare to a meeting,760.46,49.24
2024-10-03,Investment,Cash,Stock purchase,347.66,0.0
2024-10-30,Subscriptions,Debit Card,Monthly magazine subscription,883.22,13.85
2024-10-16,Transportation,Credit Card,Uber ride to the airport,427.08,36.85
2024-10-03,Bills,Net Banking,Mobile phone bill,75.12,0.23
2024-10-19,Transportation,Credit Card,Parking fees,359.74,31.38
2024-10-17,Entertainment,UPI,Video game purchase,748.19,9.24
2024-10-27,Travel,Cash,Sightseeing tour tickets,18.69,0.96
2024-10-11,Investment,Debit Card,Retirement account contribution,247.87,0.0
2024-10-03,Entertainment,UPI,Movie tickets for the weekend,235.88,20.28
2024-10-12,Food,Debit Card,Takeout from a local diner,884.79,11.92
2024-10-16,Personal,Cash,Hobby supplies,828.09,16.83
2024-10-22,Entertainment,Credit Card,Movie tickets for the weekend,885.34,47.13
2024-10-18,Food,Cash,Lunch with friends,665.75,26.35
2024-10-13,Personal,UPI,Books and stationery,385.7,22.92
2024-10-26,Food,UPI,Lunch with friends,642.94,25.25
2024-10-18,Gifts,Debit Card,Gift for a colleague,642.75,6.61
2024-10-27,Bills,UPI,Water bill payment,327.4,24.31
2024-10-20,Bills,Net Banking,Insurance premium payment,326.41,12.42
2024-10-17,Investment,Debit Card,Stock purchase,196.63,0.0
2024-10-08,Entertainment,Credit Card,Dining out with friends,131.03,4.53
2024-10-13,Personal,Net Banking,Books and stationery,965.26,5.16
2024-10-20,Travel,Cash,Flight tickets to a destination,959.89,74.04
2024-10-24,Investment,Debit Card,Retirement account contribution,29.06,0.0
2024-10-22,Entertainment,Debit Card,Streaming service subscription,661.04,64.95
2024-10-18,Entertainment,Cash,Streaming service subscription,560.89,19.53
2024-10-19,Groceries,UPI,Buying meat and dairy products,842.18,30.93
2024-10-19,Groceries,Debit Card,Snacks and drinks for the week,15.7,0.92
2024-10-09,Groceries,Debit Card,Weekly grocery shopping,811.2,43.4
2024-10-14,Entertainment,Cash,Video game purchase,62.64,4.63
2024-10-22,Bills,Net Banking,Electricity bill payment,193.33,4.49
2024-10-22,Food,Debit Card,Dinner at a restaurant,188.97,1.16
2024-10-23,Entertainment,Credit Card,Concert tickets,476.01,21.56
2024-10-03,Travel,Credit Card,Travel insurance,719.58,66.43
2024-10-30,Groceries,UPI,Snacks and drinks for the week,318.36,30.29
2024-11-11,Investment,UPI,Stock purchase,207.46,0.0
2024-11-19,Travel,Credit Card,Car rental for the trip,514.65,39.78
2024-11-24,Travel,Credit Card,Car rental for the trip,73.09,0.91
2024-11-10,Transportation,UPI,Uber ride to the airport,538.85,51.43
2024-11-19,Subscriptions,Net Banking,Gym membership,792.55,0.71
2024-11-19,Transportation,UPI,Public transport monthly pass,573.13,33.64
2024-11-16,Subscriptions,UPI,Gym membership,529.52,7.3
2024-11-13,Travel,Credit Card,Flight tickets to a destination,197.51,16.36
2024-11-17,Transportation,Debit Card,Gas for the car,272.24,1.68
2024-11-15,Entertainment,Cash,Dining out with friends,156.18,13.06
2024-11-28,Entertainment,Net Banking,Video game purchase,764.83,55.27
2024-11-24,Bills,UPI,Mobile phone bill,137.71,4.11
2024-11-01,Entertainment,Cash,Concert tickets,567.42,28.77
2024-11-14,Travel,Net Banking,Flight tickets to a destination,688.1,64.41
2024-11-06,Entertainment,Credit Card,Concert tickets,868.96,18.82
2024-11-13,Entertainment,Debit Card,Movie tickets for the weekend,644.69,14.23
2024-11-04,Travel,Debit Card,Sightseeing tour tickets,752.27,17.84
2024-11-15,Bills,UPI,Internet service charge,64.01,0.31
2024-11-04,Bills,Debit Card,Water bill payment,44.67,0.75
2024-11-15,Entertainment,Net Banking,Video game purchase,396.22,2.55
2024-11-22,Personal,Debit Card,Hobby supplies,793.83,12.08
2024-11-18,Food,UPI,Coffee and pastries at a café,583.85,12.53
2024-11-21,Food,Credit Card,Takeout from a local diner,580.81,16.89
2024-11-16,Entertainment,Net Banking,Dining out with friends,909.9,57.6
2024-11-27,Investment,Net Banking,Mutual fund contribution,981.48,0.0
2024-11-05,Transportation,Debit Card,Taxi fare to a meeting,62.88,1.89
2024-11-16,Investment,Cash,Bond investment,950.66,0.0
2024-11-06,Subscriptions,Credit Card,Online course fee,567.85,28.69
2024-11-01,Investment,Debit Card,Mutual fund contribution,206.55,0.0
2024-11-01,Investment,Cash,Dividend reinvestment,718.43,0.0
2024-11-14,Investment,Credit Card,Dividend reinvestment,469.48,0.0
2024-11-04,Transportation,Cash,Public transport monthly pass,977.72,10.19
2024-11-09,Travel,Credit Card,Sightseeing tour tickets,601.72,38.09
2024-11-24,Travel,Net Banking,Car rental for the trip,73.93,6.21
2024-11-04,Bills,Credit Card,Mobile phone bill,347.41,22.81
2024-11-17,Groceries,Cash,Snacks and drinks for the week,225.7,8.91
2024-11-24,Entertainment,Net Banking,Dining out with friends,649.57,18.66
2024-11-03,Transportation,Net Banking,Gas for the car,383.75,13.54
2024-11-26,Subscriptions,Debit Card,Gym membership,958.66,50.3
2024-11-07,Subscriptions,Credit Card,Software subscription,66.83,3.69
2024-11-12,Subscriptions,UPI,Gym membership,748.52,34.78
2024-11-06,Transportation,Cash,Public transport monthly pass,851.37,75.11
2024-11-17,Investment,Debit Card,Retirement account contribution,223.15,0.0
2024-11-23,Transportation,UPI,Public transport monthly pass,996.85,18.01
2024-11-11,Travel,UPI,Hotel booking for vacation,80.09,3.97
2024-11-28,Personal,UPI,Books and stationery,936.28,61.92
2024-11-28,Entertainment,UPI,Streaming service subscription,151.65,0.14
2024-11-09,Bills,UPI,Water bill payment,278.21,6.71
2024-11-04,Subscriptions,Cash,Software subscription,870.52,25.22
2024-11-13,Personal,Debit Card,Books and stationery,565.73,30.85
2024-11-23,Investment,Credit Card,Investment in startup,203.18,0.0
2024-11-15,Subscriptions,Cash,Gym membership,708.18,34.0
2024-11-12,Transportation,Credit Card,Taxi fare to a meeting,904.42,90.34
2024-11-05,Personal,Net Banking,Clothing purchase,689.98,48.67
2024-11-16,Entertainment,Debit Card,Concert tickets,318.43,3.08
2024-11-20,Groceries,Net Banking,Buying fresh produce,386.32,7.82
2024-11-27,Transportation,Credit Card,Parking fees,101.1,0.58
2024-11-25,Subscriptions,UPI,Streaming service subscription,969.33,77.34
2024-11-18,Food,Net Banking,Takeout from a local diner,556.81,34.8
2024-11-15,Food,Credit Card,Takeout from a local diner,803.8,33.99
2024-11-10,Investment,Credit Card,Mutual fund contribution,159.04,0.0
2024-11-08,Subscriptions,Net Banking,Software subscription,169.49,6.64
2024-11-03,Entertainment,Credit Card,Streaming service subscription,919.39,10.03
2024-11-07,Entertainment,Net Banking,Dining out with friends,47.84,4.04
2024-11-23,Subscriptions,Credit Card,Gym membership,862.25,9.77
2024-11-24,Investment,Cash,Stock purchase,656.56,0.0
2024-11-01,Bills,Credit Card,Internet service charge,93.37,8.75
2024-11-03,Groceries,Net Banking,Snacks and drinks for the week,180.39,2.08
2024-11-27,Gifts,Debit Card,Holiday gift,840.92,16.57
2024-11-04,Travel,Debit Card,Hotel booking for vacation,624.1,38.03
2024-11-17,Personal,Credit Card,Personal care products,750.93,38.76
2024-11-15,Transportation,Cash,Taxi fare to a meeting,368.6,23.16
2024-11-14,Travel,Net Banking,Sightseeing tour tickets,890.94,43.78
2024-11-03,Personal,Net Banking,Hobby supplies,819.11,61.62
2024-11-16,Bills,Debit Card,Water bill payment,929.26,13.82
2024-11-15,Bills,Debit Card,Water bill payment,912.32,60.39
2024-11-20,Entertainment,Net Banking,Video game purchase,32.17,2.83
2024-11-26,Subscriptions,Cash,Online course fee,203.93,11.84
2024-11-22,Food,Debit Card,Dinner at a restaurant,552.6,53.52
2024-11-12,Food,Cash,Snacks for cravings,871.64,35.83
2024-11-29,Groceries,Cash,Snacks and drinks for the week,429.54,24.22
2024-11-10,Food,Credit Card,Snacks for cravings,488.78,7.77
2024-11-29,Groceries,UPI,Snacks and drinks for the week,424.22,30.03
2024-11-21,Gifts,UPI,Anniversary gift,58.88,1.8
2024-11-08,Subscriptions,Debit Card,Gym membership,518.33,49.84
2024-11-10,Entertainment,UPI,Video game purchase,754.44,68.18
2024-11-22,Food,Debit Card,Coffee and pastries at a café,231.54,8.38
2024-11-29,Personal,UPI,Hobby supplies,528.85,3.09
2024-11-19,Entertainment,Debit Card,Movie tickets for the weekend,22.93,2.05
2024-11-27,Food,Net Banking,Coffee and pastries at a café,34.99,0.41
2024-11-16,Groceries,UPI,Snacks and drinks for the week,990.05,27.31
2024-11-17,Entertainment,Debit Card,Video game purchase,520.95,41.77
2024-11-17,Travel,Credit Card,Hotel booking for vacation,706.34,62.8
2024-11-26,Personal,Credit Card,Personal care products,520.0,11.72
2024-11-22,Bills,Net Banking,Insurance premium payment,743.94,2.31
2024-11-15,Gifts,Cash,Birthday gift for a friend,199.94,4.79
2024-11-09,Investment,UPI,Retirement account contribution,872.79,0.0
2024-11-09,Investment,Cash,Cryptocurrency purchase,848.88,0.0
2024-11-28,Entertainment,Cash,Video game purchase,398.33,19.81
2024-11-20,Transportation,Net Banking,Public transport monthly pass,952.16,12.22
2024-12-09,Transportation,Cash,Gas for the car,944.2,87.25
2024-12-24,Groceries,Net Banking,Buying fresh produce,98.24,0.68
2024-12-13,Travel,Cash,Hotel booking for vacation,763.36,37.56
2024-12-12,Food,Debit Card,Snacks for cravings,931.59,20.75
2024-12-04,Groceries,Credit Card,Weekly grocery shopping,169.55,1.51
2024-12-30,Bills,Cash,Insurance premium payment,354.09,19.25
2024-12-11,Bills,Debit Card,Water bill payment,215.48,9.0
2024-12-05,Gifts,Cash,Holiday gift,7.16,0.66
2024-12-03,Personal,Credit Card,Personal care products,580.32,8.16
2024-12-10,Personal,UPI,Books and stationery,767.66,7.94
2024-12-16,Groceries,Cash,Buying meat and dairy products,171.09,0.93
2024-12-02,Bills,Net Banking,Internet service charge,707.84,48.26
2024-12-30,Groceries,Credit Card,Household supplies,967.36,44.88
2024-12-05,Investment,Credit Card,Bond investment,274.16,0.0
2024-12-16,Gifts,UPI,Charity donation,518.95,28.2
2024-12-28,Travel,Net Banking,Sightseeing tour tickets,149.24,2.48
2024-12-08,Entertainment,Debit Card,Dining out with friends,343.43,31.9
2024-12-24,Transportation,UPI,Taxi fare to a meeting,793.23,59.39
2024-12-11,Transportation,Credit Card,Parking fees,295.28,27.81
2024-12-10,Subscriptions,UPI,Streaming service subscription,693.8,46.37
2024-12-15,Subscriptions,Credit Card,Streaming service subscription,480.68,16.93
2024-12-13,Personal,Net Banking,Books and stationery,329.35,15.14
2024-12-22,Subscriptions,Cash,Monthly magazine subscription,597.39,2.87
2024-12-01,Subscriptions,Cash,Monthly magazine subscription,279.51,11.96
2024-12-12,Travel,Cash,Hotel booking for vacation,766.29,75.24
2024-12-07,Bills,Cash,Electricity bill payment,359.79,32.01
2024-12-06,Personal,Net Banking,Books and stationery,967.37,38.11
2024-12-16,Gifts,UPI,Birthday gift for a friend,171.77,3.2
2024-12-19,Subscriptions,Credit Card,Streaming service subscription,145.6,1.07
2024-12-04,Food,Credit Card,Snacks for cravings,49.04,2.98
2024-12-01,Food,Credit Card,Dinner at a restaurant,11.29,0.72
2024-12-16,Food,Net Banking,Dinner at a restaurant,782.03,3.73
2024-12-01,Personal,Credit Card,Clothing purchase,130.91,3.19
2024-12-07,Travel,Net Banking,Flight tickets to a destination,271.58,24.33
2024-12-04,Bills,Debit Card,Electricity bill payment,617.78,48.11
2024-12-06,Investment,Cash,Cryptocurrency purchase,482.42,0.0
2024-12-28,Personal,Cash,Hobby supplies,589.42,3.19
2024-12-25,Gifts,UPI,Holiday gift,403.61,21.56
2024-12-28,Food,Credit Card,Dinner at a restaurant,521.8,45.78
2024-12-25,Subscriptions,Debit Card,Online course fee,680.62,37.77
2024-12-11,Gifts,Net Banking,Gift for a colleague,12.72,0.59
2024-12-02,Travel,Credit Card,Travel insurance,871.12,59.19
2024-12-01,Gifts,Credit Card,Charity donation,748.14,66.95
2024-12-02,Food,Debit Card,Lunch with friends,590.61,46.93
2024-12-20,Personal,Credit Card,Personal care products,25.56,0.8
2024-12-22,Travel,Credit Card,Car rental for the trip,189.08,0.83
2024-12-28,Gifts,UPI,Birthday gift for a friend,214.97,21.06
2024-12-25,Transportation,Net Banking,Uber ride to the airport,735.24,68.64
2024-12-03,Personal,Net Banking,Books and stationery,647.44,26.85
2024-12-18,Entertainment,Net Banking,Concert tickets,203.67,12.07
2024-12-13,Bills,Net Banking,Mobile phone bill,558.12,30.01
2024-12-24,Transportation,Net Banking,Gas for the car,343.99,0.74
2024-12-23,Investment,Debit Card,Cryptocurrency purchase,153.65,0.0
2024-12-03,Travel,Net Banking,Car rental for the trip,293.88,1.93
2024-12-30,Food,Cash,Dinner at a restaurant,937.7,29.65
2024-12-17,Food,UPI,Coffee and pastries at a café,838.85,25.21
2024-12-22,Personal,Credit Card,Clothing purchase,364.5,23.84
2024-12-18,Investment,Credit Card,Mutual fund contribution,862.57,0.0
2024-12-07,Investment,UPI,Stock purchase,910.37,0.0
2024-12-17,Bills,Credit Card,Mobile phone bill,545.21,48.12
2024-12-12,Travel,Debit Card,Sightseeing tour tickets,212.2,9.1
2024-12-09,Travel,UPI,Flight tickets to a destination,128.72,7.44
2024-12-26,Travel,Debit Card,Hotel booking for vacation,183.98,7.47
2024-12-28,Groceries,UPI,Weekly grocery shopping,741.58,17.83
2024-12-28,Bills,Credit Card,Electricity bill payment,507.13,40.53
2024-12-04,Personal,Debit Card,Personal care products,102.49,8.01
2024-12-12,Entertainment,Cash,Streaming service subscription,938.78,44.25
2024-12-12,Subscriptions,UPI,Streaming service subscription,781.44,24.78
2024-12-28,Groceries,Cash,Buying meat and dairy products,820.27,42.89
2024-12-24,Subscriptions,Credit Card,Online course fee,153.74,5.24
2024-12-13,Entertainment,UPI,Dining out with friends,822.52,13.75
2024-12-24,Bills,Credit Card,Insurance premium payment,486.56,37.59
2024-12-27,Personal,Debit Card,Hobby supplies,35.55,0.13
2024-12-22,Entertainment,Credit Card,Movie tickets for the weekend,483.37,15.07
2024-12-26,Groceries,Credit Card,Snacks and drinks for the week,451.95,37.34
2024-12-21,Gifts,Cash,Charity donation,530.66,35.23
2024-12-29,Gifts,Debit Card,Holiday gift,424.85,42.24
2024-12-23,Travel,UPI,Sightseeing tour tickets,866.05,23.72
2024-12-13,Groceries,Debit Card,Buying fresh produce,887.05,50.45
2024-12-18,Bills,Credit Card,Insurance premium payment,995.39,21.29
2024-12-27,Groceries,Cash,Snacks and drinks for the week,97.65,7.23
2024-12-12,Entertainment,Debit Card,Streaming service subscription,685.85,33.85
2024-12-18,Investment,Credit Card,Real estate investment,80.35,0.0
2024-12-21,Bills,UPI,Water bill payment,523.46,45.56
2024-12-04,Personal,UPI,Personal care products,945.27,28.33
2024-12-13,Bills,Cash,Mobile phone bill,30.75,2.12
2024-12-17,Entertainment,Cash,Video game purchase,388.26,1.53
2024-12-10,Personal,Debit Card,Books and stationery,316.28,8.09
2024-12-18,Gifts,Cash,Holiday gift,66.65,2.13
2024-12-04,Personal,Credit Card,Clothing purchase,408.3,1.28
2024-12-22,Gifts,Cash,Anniversary gift,245.83,13.65
2024-12-21,Bills,Debit Card,Internet service charge,960.29,94.45
2024-12-15,Food,Debit Card,Snacks for cravings,961.09,42.88
2024-12-17,Bills,Cash,Electricity bill payment,261.61,24.89
2024-12-18,Entertainment,Net Banking,Concert tickets,654.85,53.41
2024-12-20,Gifts,Debit Card,Gift for a colleague,13.12,0.31
2024-12-01,Food,Debit Card,Dinner at a restaurant,904.94,10.7
2024-12-21,Travel,UPI,Car rental for the trip,467.01,37.16
2024-12-05,Subscriptions,Cash,Monthly magazine subscription,439.17,12.58
2024-12-27,Entertainment,UPI,Movie tickets for the weekend,229.57,19.34
2024-02-20,Gifts,Cash,Birthday gift for a friend,377.92,11.42
2024-02-01,Groceries,Cash,Weekly grocery shopping,106.54,6.23
2024-02-01,Entertainment,Credit Card,Movie tickets for the weekend,912.06,69.9
2024-02-03,Subscriptions,Debit Card,Gym membership,208.22,17.38
2024-02-17,Entertainment,Debit Card,Dining out with friends,512.13,10.36
2024-02-10,Bills,Debit Card,Electricity bill payment,723.0,63.59
2024-02-03,Gifts,Cash,Birthday gift for a friend,864.84,38.53
2024-02-27,Gifts,UPI,Anniversary gift,475.43,3.13
2024-02-23,Bills,Credit Card,Water bill payment,353.94,33.55
2024-02-19,Gifts,Net Banking,Charity donation,942.47,40.38
2024-02-02,Bills,Net Banking,Mobile phone bill,91.34,7.55
2024-02-17,Groceries,Net Banking,Snacks and drinks for the week,372.16,0.05
