Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-04-13,Transportation,Net Banking,Taxi fare to a meeting,272.28,25.01
2024-04-23,Groceries,UPI,Snacks and drinks for the week,296.58,24.82
2024-04-21,Investment,Credit Card,Cryptocurrency purchase,389.12,0.0
2024-04-21,Food,Credit Card,Lunch with friends,883.15,40.75
2024-04-27,Subscriptions,Debit Card,Gym membership,568.24,33.38
2024-04-01,Subscriptions,Debit Card,Streaming service subscription,763.87,12.26
2024-04-10,Groceries,Net Banking,Buying fresh produce,465.29,20.43
2024-04-27,Subscriptions,Net Banking,Gym membership,145.07,13.81
2024-04-23,Food,Net Banking,Lunch with friends,397.36,34.35
2024-04-09,Investment,Credit Card,Dividend reinvestment,774.7,0.0
2024-04-10,Subscriptions,UPI,Monthly magazine subscription,351.54,27.2
2024-04-27,Subscriptions,Cash,Monthly magazine subscription,985.7,67.57
2024-04-02,Travel,Net Banking,Sightseeing tour tickets,814.82,44.0
2024-04-16,Travel,Debit Card,Sightseeing tour tickets,694.14,67.17
2024-04-28,Groceries,Credit Card,Household supplies,680.78,36.93
2024-04-08,Gifts,Net Banking,Charity donation,462.5,25.74
2024-04-17,Investment,Debit Card,Mutual fund contribution,492.02,0.0
2024-04-27,Food,Debit Card,Dinner at a restaurant,555.99,24.97
2024-04-23,Personal,Net Banking,Books and stationery,36.48,0.72
2024-04-08,Groceries,UPI,Household supplies,900.37,20.96
2024-04-01,Bills,Credit Card,Internet service charge,403.35,6.5
2024-04-01,Groceries,Credit Card,Household supplies,668.92,19.0
2024-04-01,Gifts,Debit Card,Holiday gift,807.31,41.72
2024-04-15,Bills,Credit Card,Internet service charge,344.36,7.72
2024-04-20,Entertainment,Cash,Video game purchase,91.36,4.47
2024-04-16,Subscriptions,Credit Card,Software subscription,198.62,14.93
2024-04-08,Groceries,UPI,Weekly grocery shopping,508.19,24.55
2024-04-16,Gifts,Net Banking,Gift for a colleague,257.06,4.62
2024-04-08,Gifts,Cash,Birthday gift for a friend,45.08,3.38
2024-04-07,Subscriptions,Net Banking,Software subscription,554.41,52.69
